Shares_Owned,Dollar_Amount,Date,Stock_Price,Amount_Invested
60.63370692875246,179119.84554392297,2019-05-01,2954.1298828125,92000
60.80238935591468,180227.39647160115,2019-06-01,2964.14990234375,92500
60.96751594302064,184608.41773437586,2019-07-01,3027.97998046875,93000
61.13343100957503,184231.10172920066,2019-08-01,3013.590087890625,93500
61.298884899765184,185244.61657961947,2019-09-01,3021.989990234375,94000
61.46281394602311,187467.73481899302,2019-10-01,3050.10009765625,94500
61.621329730534214,194369.69611760564,2019-11-01,3154.260009765625,95000
61.77527393823682,200641.7612592984,2019-12-01,3247.929931640625,95500
61.92507455274118,206691.65729937705,2020-01-01,3337.77001953125,96000
62.07241418743385,210643.98020569235,2020-02-01,3393.52001953125,96500
62.231816366994025,195203.78121147974,2020-03-01,3136.719970703125,97000
62.401029115423,184386.31159523435,2020-04-01,2954.860107421875,97500
62.56396615744103,191988.16114054472,2020-05-01,3068.669921875,98000
62.71861506364738,202777.42857089255,2020-06-01,3233.1298828125,98500
62.871054553246026,206216.4296101263,2020-07-01,3279.989990234375,99000
63.01331137153614,221477.2976400628,2020-08-01,3514.77001953125,99500
63.15266049545677,226598.6994343306,2020-09-01,3588.110107421875,100000
63.29351151345613,224682.47802704922,2020-10-01,3549.85009765625,100500
63.43064847799504,231267.50942484522,2020-11-01,3645.989990234375,101000
63.56362013016587,239011.92130975734,2020-12-01,3760.199951171875,101500
63.692789060547476,246548.4109544743,2021-01-01,3870.89990234375,102000
63.81935756287562,252113.90033445932,2021-02-01,3950.429931640625,102500
63.944532497597315,255420.67443360278,2021-03-01,3994.409912109375,103000
64.06305017935905,270267.9010721304,2021-04-01,4218.77978515625,103500
64.1810292440662,272001.77168459375,2021-05-01,4238.0400390625,104000
64.29724263500384,276634.3969323693,2021-06-01,4302.43017578125,104500
64.41011021102605,285334.8697696487,2021-07-01,4429.97021484375,105000
64.52030645180614,292751.84886103147,2021-08-01,4537.35986328125,105500
64.63029688027578,293799.6413847541,2021-09-01,4545.85009765625,106000
64.73880193911222,298321.58349730313,2021-10-01,4608.080078125,106500
64.84420200441086,307609.87586053764,2021-11-01,4743.830078125,107000
64.94817523374118,312331.23974346643,2021-12-01,4808.93017578125,107500
65.05193937945928,313460.58375592425,2022-01-01,4818.6201171875,108000
65.16074596565795,299433.8313614601,2022-02-01,4595.31005859375,108500
65.2685673317673,302669.91453983745,2022-03-01,4637.2998046875,109000
65.37741797316758,300307.91335787356,2022-04-01,4593.4501953125,109500
65.49349026807101,282123.69852151664,2022-05-01,4307.66015625,110000
65.61317879737483,274099.6951797325,2022-06-01,4177.509765625,110500
65.73394737141051,272148.3957904144,2022-07-01,4140.14990234375,111000
65.84954682967351,284817.71376408666,2022-08-01,4325.27978515625,111500
65.9709272714201,271752.70711717394,2022-09-01,4119.27978515625,112000
66.09895447720132,258144.17363037076,2022-10-01,3905.419921875,112500
66.22150018965415,270191.0122524475,2022-11-01,4080.110107421875,113000
66.34342286258016,272071.72083098674,2022-12-01,4100.9599609375,113500
66.46554654572549,272123.9027266643,2023-01-01,4094.2099609375,114000
66.58472355862116,279352.20870533295,2023-02-01,4195.43994140625,114500
66.70635586416151,274213.15236860194,2023-03-01,4110.75,115000
66.82625821400167,278669.51024348085,2023-04-01,4170.06005859375,115500
66.94443079050889,283248.58765526424,2023-05-01,4231.10009765625,116000
67.05657663442662,298970.40448335966,2023-06-01,4458.47998046875,116500
67.1651054866206,309434.33072787896,2023-07-01,4607.06982421875,117000
67.27416577672524,308426.4937869814,2023-08-01,4584.6201171875,117500
67.38426762093113,306008.80533355346,2023-09-01,4541.25,118000
67.49807029620531,296557.4848464036,2023-10-01,4393.56982421875,118500
67.60705879249082,310156.8564419352,2023-11-01,4587.64013671875,119000
67.71137106595033,324560.9017055426,2023-12-01,4793.2998046875,119500
67.8133353013973,332534.90797106875,2024-01-01,4903.68017578125,120000
